Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,,,,,,,,,,,,,,,,,
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years
Open-End Funds,Capital Protected (Absolute Return),ABL Special Saving Fund (ABL Special Saving Plan IV),,N/A,"Jan 01, 2026",10.7268,5.7275,0.0289,0.0289,0.4683,0.9828,2.7973,5.5995,9.233,13.0482,35.9318,65.0394
Open-End Funds,Capital Protected (Absolute Return),ABL Special Saving Fund (ABL Special Saving Plan V),,N/A,"Jan 01, 2026",10.6373,5.095,0.0207,0.0207,0.4818,1.0008,2.5667,4.9271,8.3087,11.4098,34.9606,65.0947
Open-End Funds,Capital Protected (Absolute Return),ABL Special Saving Fund (ABL Special Saving Plan VI),,N/A,"Jan 01, 2026",10.5782,5.1961,0.0293,0.0293,0.4759,0.9929,2.8528,5.1438,10.1224,13.5377,38.2346,69.5851
Open-End Funds,Capital Protected (Absolute Return),Alfalah Special Savings Fund - I (Formerly: Faysal Special Savings Plan I),,N/A,"Dec 31, 2025",142.9958,5.8131,2.2334,0.0392,1.037,2.1968,3.6126,5.6801,11.3859,12.391,22.5633,44.6914
Open-End Funds,Capital Protected (Absolute Return),Alfalah Special Savings Fund - II (Formerly: Faysal Special Savings Plan II),,N/A,"Dec 31, 2025",112.1503,4.9507,0.9007,0.0144,0.4235,0.8721,2.6641,4.8232,10.5383,19.3982,58.1476,92.1087
Open-End Funds,Capital Protected - Income (Annualized Return),UBL Special Savings Plan V,,N/A,"Dec 31, 2025",106.7889,9.1633,9.0414,10.1835,8.7162,9.0532,9.1725,9.1514,9.574,9.6518,N/A,N/A
Open-End Funds,Capital Protected - Income (Annualized Return),UBL Special Savings Plan X,,N/A,"Dec 30, 2025",107.6819,11.0166,17.0017,17.0455,23.4719,17.0017,12.1748,10.8322,12.7608,12.9347,6.5092,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return),ABL Fixed Rate Plan XIX,,Average three (3) months PKRV Rates,"Jan 01, 2026",10.5436,10.7251,10.0375,10.0375,12.247,13.0634,11.328,10.4601,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return),ABL Fixed Rate Plan XVIII,,N/A,"Jan 01, 2026",10.4816,10.4633,10.1105,10.1105,10.1397,10.6556,10.6823,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return),ABL Fixed Rate Plan XX,,N/A,"Jan 01, 2026",10.235,10.9968,10.3295,10.3295,10.9622,11.0838,N/A,N/A,N/A,N/A,N/A,N/A
